C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9274725274725275,0.9210526315789473,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.9362637362637363,0.9298245614035088,1,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9230769230769231,0.9122807017543859,0,0
14.135935551752295,0.000619049016677,0.001304907355036,0.9362637362637363,0.9035087719298246,0,0
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9186813186813187,0.9035087719298246,0,1
262.0,0.0007,0.02567,0.9274725274725275,0.9122807017543859,0,0
407.0,0.0001,0.09999,0.9340659340659341,0.9122807017543859,0,0
153.0,0.0007,0.01325,0.9274725274725275,0.9035087719298246,0,0
282.0,0.0004,0.02347,0.9340659340659341,0.9385964912280702,0,0
556.0,0.0002,0.09001,0.9296703296703297,0.9210526315789473,0,0
628.0,0.0007,0.03641,0.9274725274725275,0.9035087719298246,0,0
169.0,0.0009,0.00234,0.9186813186813187,0.9035087719298246,0,0
86.0,0.0004,0.01,0.9340659340659341,0.9298245614035088,0,0
76.4,0.0002,0.02456,0.9340659340659341,0.9210526315789473,0,0
333.0,0.0006,0.03569,0.9318681318681319,0.9122807017543859,0,0
58.7,0.0002,0.00137,0.9340659340659341,0.9210526315789473,0,0
367.0,0.0006,0.038,0.9318681318681319,0.9122807017543859,0,0
118.0,0.0009,0.00678,0.9186813186813187,0.9035087719298246,0,0
56.1,0.0008,0.0567,0.9208791208791209,0.9122807017543859,0,0
26.0,0.0005,0.00101,0.9274725274725275,0.9210526315789473,0,0
409.0,0.0001,0.09998,0.9340659340659341,0.9035087719298246,0,0
31.3729,0.0003,0.0315,0.9340659340659341,0.9210526315789473,0,0
26.1111,0.0003,0.00383,0.9340659340659341,0.9298245614035088,0,0
281.0,0.0005,0.0043,0.9274725274725275,0.9298245614035088,0,0
408.5,0.0001,0.1,0.9362637362637363,0.9122807017543859,0,0
114.0,0.0006,0.03801,0.9318681318681319,0.9122807017543859,0,0
43.0,0.0003,0.00383,0.9340659340659341,0.9210526315789473,0,0
129.0,0.0006,0.01967,0.9318681318681319,0.9122807017543859,0,0
14.0,0.0006,0.0013,0.9362637362637363,0.9035087719298246,0,0
21.5,0.0008,0.07156,0.9208791208791209,0.9122807017543859,0,0
